ANCON;17658;11786;15774;9985
ATE;194633;156484;188499;144519
BARRANCO;26764;7037;13682;22250
BREÑA;52083;20255;32805;51399
CARABAYLLO;95218;75888;82406;66402
CHACLACAYO;20745;12021;15419;14922
CHORRILLOS;143348;57053;97307;95963
CIENEGUILLA;10496;8028;8195;6223
COMAS;210748;123164;172267;161402
EL AGUSTINO;78236;47238;73500;54876
INDEPENDENCIA;83808;50063;72994;64635
JESUS MARIA;56750;19420;28245;60569
LA MOLINA;96585;26362;42451;82307
LA VICTORIA;94289;40243;80806;80301
LIMA;146933;66930;110141;139677
LINCE;41843;13964;22372;42854
LOS OLIVOS;148726;84584;105670;131333
LURIGANCHO;56560;52056;53466;45499
LURIN;32809;17785;26899;16517
MAGDALENA DEL MAR;41157;10826;17381;34744
MIRAFLORES;78762;14387;30057;71976
PACHACAMAC;31498;27766;28799;17826
PUCUSANA;5567;3197;2680;4598
PUEBLO LIBRE;54059;15613;24208;52452
PUENTE PIEDRA;103346;86320;99655;68646
PUNTA HERMOSA;4339;1444;2324;2310
PUNTA NEGRA;3501;1359;2159;2191
RIMAC;85605;37175;67087;69063
SAN BARTOLO;3643;1643;2224;2085
SAN BORJA;76996;14748;30324;69413
SAN ISIDRO;47769;6444;16936;40357
SAN JUAN DE LURIGANCHO;347839;251833;318615;264607
SAN JUAN DE MIRAFLORES;163756;88563;136974;123048
SAN LUIS;30419;12838;20996;26511
SAN MARTIN DE PORRES;261299;135431;190749;209170
SAN MIGUEL;87427;23383;36323;70424
SANTA ANITA;84389;60146;77440;72034
SANTA MARÍA DEL MAR;968;258;438;688
SANTA ROSA;6282;5156;6375;4261
SANTIAGO DE SURCO;201675;43697;87307;160377
SURQUILLO;53103;16469;28682;46008
VILLA EL SALVADOR;168341;93252;148926;105090
VILLA MARIA DEL TRIUNFO;168024;96141;149475;106839
BELLAVISTA;42168;11662;22682;34795
CALLAO;194821;86812;137680;148697
CARMEN DE LA LEGUA;22932;10828;17318;17038
LA PERLA;33316;8748;16734;28647
LA PUNTA;4406;598;1657;3797
MI PERU;13823;9010;10883;7084
VENTANILLA;99394;41615;98000;64095
